ID OMM station;Date;Pression au niveau mer;Variation de pression en 3 heures;Type de tendance barométrique;Direction du vent moyen 10 mn;Vitesse du vent moyen 10 mn;Température;Point de rosée;Humidité;Visibilité horizontale;Temps présent;Temps passé 1;Temps passé 2;Nebulosité totale;Nébulosité  des nuages de l' étage inférieur;Hauteur de la base des nuages de l'étage inférieur;Type des nuages de l'étage inférieur;Type des nuages de l'étage moyen;Type des nuages de l'étage supérieur;Pression station;Niveau barométrique;Géopotentiel;Variation de pression en 24 heures;Température minimale sur 12 heures;Température minimale sur 24 heures;Température maximale sur 12 heures;Température maximale sur 24 heures;Température minimale du sol sur 12 heures;Méthode de mesure Température du thermomètre mouillé;Température du thermomètre mouillé;Rafale sur les 10 dernières minutes;Rafales sur une période;Periode de mesure de la rafale;Etat du sol;Hauteur totale de la couche de neige, glace, autre au sol;Hauteur de la neige fraîche;Periode de mesure de la neige fraiche;Précipitations dans la dernière heure;Précipitations dans les 3 dernières heures;Précipitations dans les 6 dernières heures;Précipitations dans les 12 dernières heures;Précipitations dans les 24 dernières heures;Phénomène spécial 1;Phénomène spécial 2;Phénomène spécial 3;Phénomène spécial 4;Nébulosité couche nuageuse 1;Type nuage 1;Hauteur de base 1;Nébulosité couche nuageuse 2;Type nuage 2;Hauteur de base 2;Nébulosité couche nuageuse 3;Type nuage 3;Hauteur de base 3;Nébulosité couche nuageuse 4;Type nuage 4;Hauteur de base 4;Coordonnees;Nom;Type de tendance barométrique;Temps passé 1;Temps présent;Température (°C);Température minimale sur 12 heures (°C);Température minimale sur 24 heures (°C);Température maximale sur 12 heures (°C);Température maximale sur 24 heures (°C);Température minimale du sol sur 12 heures (en °C);Latitude;Longitude;Altitude;communes (name);communes (code);EPCI (name);EPCI (code);department (name);department (code);region (name);region (code);mois_de_l_annee
07222;2010-01-07T16:00:00+01:00;101180;30.0;En baisse ou stationnaire, puis en hausse, ou en hausse, puis en hausse plus rapide;20;5.1;275.45;269.15;63;30000.0;État du ciel inchangé dans l’ensemble;Nuages couvrant plus de la moitié du ciel pendant une partie de la période considérée et couvrant la moitié du ciel, ou moins, pendant l’autre partie;1;40.0;3;1250.0;35;20;10;100860.0;;;;;;;;;;;;10.8;-10.0;;;;;0.0;0.0;;;;710.0;1111.0;;;3.0;6;1050.0;;;;;;;;;;47.15, -1.608833;NANTES-BOUGUENAIS;En baisse ou stationnaire, puis en hausse, ou en hausse, puis en hausse plus rapide;Nuages couvrant plus de la moitié du ciel pendant une partie de la période considérée et couvrant la moitié du ciel, ou moins, pendant l’autre partie;État du ciel inchangé dans l’ensemble;2.3000000000000114;;;;;;47.15;-1.608833;26;Saint-Aignan-Grandlieu;44150;Nantes Métropole;244400404;Loire-Atlantique;44;Pays de la Loire;52;1
07650;2010-01-07T16:00:00+01:00;100460;-180.0;En baisse, puis stationnaire, ou en baisse, puis en baisse plus lente;40;3.1;279.75;270.05;50;60000.0;État du ciel inchangé dans l’ensemble;Nuages couvrant plus de la moitié du ciel pendant une partie de la période considérée et couvrant la moitié du ciel, ou moins, pendant l’autre partie;1;90.0;1;1250.0;35;27;60;100070.0;;;;;;;;;;;;6.2;-10.0;;;;;0.0;0.0;;;;710.0;1106.0;;;1.0;6;1380.0;7.0;4;2400.0;;;;;;;43.437667, 5.216;MARIGNANE;En baisse, puis stationnaire, ou en baisse, puis en baisse plus lente;Nuages couvrant plus de la moitié du ciel pendant une partie de la période considérée et couvrant la moitié du ciel, ou moins, pendant l’autre partie;État du ciel inchangé dans l’ensemble;6.600000000000023;;;;;;43.437667;5.216;9;Marignane;13054;Métropole d'Aix-Marseille-Provence;200054807;Bouches-du-Rhône;13;Provence-Alpes-Côte d'Azur;93;1
61972;2010-01-07T19:00:00+01:00;100940;;;160;8.2;300.35;;;;;;;;;;;;;;;;;;;304.65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-22.344167, 40.340667;EUROPA;;;;27.200000000000045;;;31.5;;;-22.344167;40.340667;6;;;;;;;;;1
07015;2010-01-07T22:00:00+01:00;101430;210.0;En hausse;80;1.0;266.05;264.65;88;3000.0;Brume;Nuages ne couvrant pas plus de la moitié du ciel pendant toute la période considérée;0;25.0;2;1750.0;35;20;10;100820.0;;;;;;;;;;;;3.1;-10.0;17;0.0;0.0;-30.0;0.0;0.0;;;;710.0;1103.0;3100.0;;2.0;6;1800.0;;;;;;;;;;50.57, 3.0975;LILLE-LESQUIN;En hausse;Nuages ne couvrant pas plus de la moitié du ciel pendant toute la période considérée;Brume;-7.099999999999966;;;;;;50.57;3.0975;47;Fretin;59256;Métropole Européenne de Lille;245900410;Nord;59;Hauts-de-France;32;1
07280;2010-01-07T22:00:00+01:00;101190;70.0;En hausse, puis stationnaire, ou en hausse, puis en hausse plus lente;360;2.6;271.25;270.85;97;2600.0;Brume;;;;;250.0;;;;98350.0;;;;;;;;;;;;3.6;-10.0;;;;;0.0;0.0;;;;710.0;1104.0;;;;;;;;;;;;;;;47.267833, 5.088333;DIJON-LONGVIC;En hausse, puis stationnaire, ou en hausse, puis en hausse plus lente;;Brume;-1.8999999999999773;;;;;;47.267833;5.088333;219;Ouges;21473;Dijon Métropole;242100410;Côte-d'Or;21;Bourgogne-Franche-Comté;27;1
81405;2010-01-07T22:00:00+01:00;101140;;;70;2.1;300.25;295.65;76;11000.0;Dans l’ensemble, nuages se dissipant ou devenant moins épais;Averse(s);6;25.0;2;800.0;32;20;10;101050.0;;;;;;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;4.822333, -52.365333;CAYENNE-MATOURY;;Averse(s);Dans l’ensemble, nuages se dissipant ou devenant moins épais;27.100000000000023;;;;;;4.822333;-52.365333;4;Matoury;97307;CA du Centre Littoral;249730045;Guyane;973;Guyane;03;1
07020;2010-01-08T01:00:00+01:00;101630;80.0;En hausse;20;10.3;276.45;272.85;77;18000.0;État du ciel inchangé dans l’ensemble;Nuages couvrant plus de la moitié du ciel pendant une partie de la période considérée et couvrant la moitié du ciel, ou moins, pendant l’autre partie;1;50.0;4;1250.0;35;20;10;101550.0;;;;;;;;;;;;13.9;-10.0;;;;;0.0;0.0;0.0;;;710.0;1114.0;;;4.0;6;990.0;;;;;;;;;;49.725167, -1.939833;PTE DE LA HAGUE;En hausse;Nuages couvrant plus de la moitié du ciel pendant une partie de la période considérée et couvrant la moitié du ciel, ou moins, pendant l’autre partie;État du ciel inchangé dans l’ensemble;3.3000000000000114;;;;;;49.725167;-1.939833;6;La Hague;50041;CA du Cotentin;200067205;Manche;50;Normandie;28;1
07207;2010-01-08T01:00:00+01:00;101660;70.0;En hausse, puis stationnaire, ou en hausse, puis en hausse plus lente;30;2.6;273.05;270.55;81;25000.0;État du ciel inchangé dans l’ensemble;Nuages couvrant plus de la moitié du ciel pendant une partie de la période considérée et couvrant la moitié du ciel, ou moins, pendant l’autre partie;1;10.0;1;800.0;31;20;10;101120.0;;;;;;;;;;;;4.6;-10.0;;;;;0.0;0.0;0.0;;;710.0;1105.0;2428.0;;;;;;;;;;;;;;47.294333, -3.218333;BELLE ILE-LE TALUT;En hausse, puis stationnaire, ou en hausse, puis en hausse plus lente;Nuages couvrant plus de la moitié du ciel pendant une partie de la période considérée et couvrant la moitié du ciel, ou moins, pendant l’autre partie;État du ciel inchangé dans l’ensemble;-0.0999999999999659;;;;;;47.294333;-3.218333;34;Bangor;56009;CC de Belle Ile en Mer;245600465;Morbihan;56;Bretagne;53;1
07621;2010-01-08T01:00:00+01:00;100860;20.0;En hausse, puis en baisse la pression atmosphérique est la même ou plus haute que trois heures auparavant;30;2.6;272.25;271.65;95;2000.0;Chute continue de flocons de neige, faible au moment de l’observation;Neige, ou pluie et neige mêlées;7;100.0;8;80.0;35;61;60;96390.0;;;;;;;;;;;;4.6;-10.0;17;0.03;0.01;-60.0;0.2;2.0;6.0;;;710.0;1105.0;3101.0;;3.0;7;90.0;5.0;7;180.0;7.0;6;300.0;;;;43.188, 0.0;TARBES-OSSUN;En hausse, puis en baisse la pression atmosphérique est la même ou plus haute que trois heures auparavant;Neige, ou pluie et neige mêlées;Chute continue de flocons de neige, faible au moment de l’observation;-0.8999999999999773;;;;;;43.188;0.0;360;Louey;65284;CA Tarbes-Lourdes-Pyrénées;200069300;Hautes-Pyrénées;65;Occitanie;76;1
07747;2010-01-08T01:00:00+01:00;100290;-230.0;Stationnaire ou en hausse, puis en baisse, ou en baisse, puis en baisse plus rapide;310;5.7;276.15;274.15;87;20000.0;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;;;100.0;;1250.0;;;;99750.0;;;;;;;;;;;;10.3;-10.0;;;;;0.2;2.0;8.0;;;710.0;1110.0;;;;;;;;;;;;;;;42.737167, 2.872833;PERPIGNAN;Stationnaire ou en hausse, puis en baisse, ou en baisse, puis en baisse plus rapide;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;3.0;;;;;;42.737167;2.872833;42;Perpignan;66136;CU Perpignan Méditerranée Métropole;200027183;Pyrénées-Orientales;66;Occitanie;76;1
07434;2010-01-08T04:00:00+01:00;101070;-70.0;En baisse, puis stationnaire, ou en baisse, puis en baisse plus lente;40;5.1;269.25;268.15;91;6000.0;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;;;100.0;;150.0;;;;96070.0;;;;;;;;;;;;12.3;-10.0;13;0.01;;;0.0;0.0;;;;710.0;1112.0;;;;;;;;;;;;;;;45.861167, 1.175;LIMOGES-BELLEGARDE;En baisse, puis stationnaire, ou en baisse, puis en baisse plus lente;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;-3.8999999999999773;;;;;;45.861167;1.175;402;Limoges;87085;CU Limoges Métropole;248719312;Haute-Vienne;87;Nouvelle-Aquitaine;75;1
